State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
"CA","Lambie Energy Center","55626","UNIT1","Unit ID change from 1 to UNIT1",
"GA","Mitchell (GA)","727","4CA","Unit ID change from 4C to 4CA",
"GA","Mitchell (GA)","727","4BA","Unit ID change from 4B to 4BA",
"GA","Mitchell (GA)","727","4AA","Unit ID change from 4A to 4AA",
"IN","Portside Energy","55096","CT","Unit ID change from CT-1 to CT",
"IN","Portside Energy","55096","BLR2","Unit ID change from B-2 to BLR2",
"IN","Portside Energy","55096","BLR1","Unit ID change from B-1 to BLR1",
"PA","Armstrong Power, LLC","55347","4","Unit ID change from UNIT4 to 4",
"PA","Armstrong Power, LLC","55347","UNIT4","Unit ID change from 0UNIT4 to UNIT4",
"PA","Armstrong Power, LLC","55347","3","Unit ID change from UNIT3 to 3",
"PA","Armstrong Power, LLC","55347","UNIT3","Unit ID change from 0UNIT3 to UNIT3",
"PA","Armstrong Power, LLC","55347","2","Unit ID change from UNIT2 to 2",
"PA","Armstrong Power, LLC","55347","UNIT2","Unit ID change from 0UNIT2 to UNIT2",
"PA","Armstrong Power, LLC","55347","1","Unit ID change from UNIT1 to 1",
"PA","Armstrong Power, LLC","55347","UNIT1","Unit ID change from 0UNIT1 to UNIT1",
"OH","Troy Energy, LLC","55348","4","Unit ID change from UNIT4 to 4",
"OH","Troy Energy, LLC","55348","UNIT4","Unit ID change from 0UNIT4 to UNIT4",
"OH","Troy Energy, LLC","55348","3","Unit ID change from UNIT3 to 3",
"OH","Troy Energy, LLC","55348","UNIT3","Unit ID change from 0UNIT3 to UNIT3",
"OH","Troy Energy, LLC","55348","2","Unit ID change from UNIT2 to 2",
"OH","Troy Energy, LLC","55348","UNIT2","Unit ID change from 0UNIT2 to UNIT2",
"OH","Troy Energy, LLC","55348","1","Unit ID change from UNIT1 to 1",
"OH","Troy Energy, LLC","55348","UNIT1","Unit ID change from 0UNIT1 to UNIT1",
"WV","Pleasants Energy, LLC","55349","2","Unit ID change from TURB2 to 2",
"WV","Pleasants Energy, LLC","55349","1","Unit ID change from TURB1 to 1",
"IN","Sugar Creek Generating Station","55364","CT22","Unit ID change from 00CT22 to CT22",
"IN","Sugar Creek Generating Station","55364","CT21","Unit ID change from 00CT21 to CT21",
"IN","Sugar Creek Generating Station","55364","CT12","Unit ID change from 00CT12 to CT12",
"IN","Sugar Creek Generating Station","55364","CT11","Unit ID change from 00CT11 to CT11",
"IL","NRG Rockford II Energy Center","55936","U1","Unit ID change from 001 to U1",
"CA","Chula Vista Energy Center","55540","1B","Unit ID change from CT1B to 1B",
"CA","Chula Vista Energy Center","55540","1A","Unit ID change from CT1A to 1A",
"NE","Beatrice","8000","2","Unit ID change from CT2 to 2",
"NE","Beatrice","8000","1","Unit ID change from CT1 to 1",
"MN","Benson Power Biomass Plant","55867","BLR-1","Unit ID change from EU-001 to BLR-1",
"FL","Oleander Power Project","55286","O-5","Unit ID change from OG-5 to O-5",
"FL","Oleander Power Project","55286","OG-5","Unit ID change from O-5 to OG-5",
"FL","Oleander Power Project","55286","O-4","Unit ID change from OG-4 to O-4",
"FL","Oleander Power Project","55286","OG-4","Unit ID change from O-4 to OG-4",
"FL","Oleander Power Project","55286","O-3","Unit ID change from OG-3 to O-3",
"FL","Oleander Power Project","55286","OG-3","Unit ID change from O-3 to OG-3",
"FL","Oleander Power Project","55286","O-2","Unit ID change from OG-2 to O-2",
"FL","Oleander Power Project","55286","OG-2","Unit ID change from O-2 to OG-2",
"FL","Oleander Power Project","55286","O-1","Unit ID change from OG-1 to O-1",
"FL","Oleander Power Project","55286","OG-1","Unit ID change from O-1 to OG-1",
"NV","Walter M. Higgins III Generating Station","55687","BHG2","Unit ID change from BHN2 to BHG2",
"NV","Walter M. Higgins III Generating Station","55687","BHG1","Unit ID change from BHN1 to BHG1",
"UT","Nebo Power Station","56177","U1","Unit ID change from 1 to U1",
"NY","Astoria Generating Station","8906","42RH","Unit ID change from 41SH to 42RH",
"NY","Astoria Generating Station","8906","32SH","Unit ID change from 31RH to 32SH",
